hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,random_noise
City Hotel,0.0,0.0,2017.0,March,12.0,24.0,0.0,1.0,2.0,0.0,0.0,BB,PRT,Complementary,Direct,1.0,0.0,2.0,G,G,0.0,No Deposit,,,0.0,Transient,0.0,0.0,2.0,Check-Out,2017-03-25,Jennifer Moreno,Jennifer_M18@hotmail.com,564-892-6539,************7562,-0.6724669114563612
Resort Hotel,0.0,38.0,2015.0,October,40.0,2.0,4.0,7.0,2.0,2.0,0.0,BB,USA,Online TA,TA/TO,0.0,0.0,0.0,G,G,1.0,No Deposit,240.0,,0.0,Transient,115.0,0.0,1.0,Check-Out,2015-10-13,David Ball,David_B@verizon.com,968-940-3692,************1278,-1.1707688414296396
Resort Hotel,0.0,113.0,2016.0,April,18.0,26.0,0.0,2.0,2.0,0.0,0.0,BB,USA,Online TA,TA/TO,0.0,0.0,0.0,G,G,0.0,No Deposit,241.0,,0.0,Transient,78.31,0.0,1.0,Check-Out,2016-04-28,Jason Owens,Owens.Jason@aol.com,709-277-5787,************1148,0.5248453430673884
City Hotel,1.0,313.0,2015.0,August,35.0,26.0,0.0,2.0,2.0,0.0,0.0,BB,PRT,Groups,TA/TO,0.0,1.0,0.0,A,A,0.0,Non Refund,1.0,,0.0,Transient-Party,62.0,0.0,0.0,Canceled,2015-07-02,Laura Peterson,Laura_Peterson@outlook.com,757-979-9405,************3074,-1.2089478534232854
Resort Hotel,0.0,25.0,2016.0,November,46.0,6.0,4.0,6.0,2.0,0.0,0.0,BB,DEU,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,75.0,,0.0,Transient,39.6,0.0,0.0,Check-Out,2016-11-16,Shane Smith,Shane.Smith@outlook.com,899-918-2624,************8494,0.999911476710216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3885706677241614
City Hotel,1.0,124.0,2015.0,December,51.0,17.0,0.0,3.0,2.0,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,72.25,0.0,1.0,Canceled,2015-09-28,Steven Christian,Christian.Steven@yandex.com,410-536-3967,************1567,-1.4557206120849482
Resort Hotel,0.0,10.0,2016.0,October,44.0,26.0,0.0,3.0,2.0,0.0,0.0,HB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,111.0,1.0,1.0,Check-Out,2016-10-29,Lynn Horne,LynnHorne@yahoo.com,256-032-0897,************9689,-1.0688359772963991
City Hotel,0.0,2.0,2017.0,June,22.0,3.0,1.0,1.0,2.0,0.0,0.0,BB,FRA,Direct,Direct,0.0,0.0,0.0,A,A,0.0,No Deposit,14.0,,0.0,Transient,160.0,0.0,2.0,Check-Out,2017-06-05,Andrew Snyder,AndrewSnyder32@gmail.com,592-820-3162,************2002,-1.4033370462872834
City Hotel,0.0,218.0,2017.0,June,24.0,15.0,0.0,3.0,3.0,0.0,0.0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,D,D,1.0,No Deposit,9.0,,0.0,Transient,180.5,0.0,2.0,Check-Out,2017-06-18,David Ortiz,DavidOrtiz50@outlook.com,520-142-8721,************9069,0.9191411419803348
Resort Hotel,0.0,34.0,2016.0,March,14.0,27.0,2.0,4.0,2.0,2.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,G,G,0.0,No Deposit,240.0,,0.0,Transient,95.5,0.0,1.0,Check-Out,2016-04-02,Jonathan Griffin,Jonathan.Griffin@aol.com,409-870-0080,************9322,-0.2508803770041229
City Hotel,0.0,448.0,2017.0,June,24.0,17.0,2.0,1.0,2.0,0.0,0.0,BB,GBR,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,229.0,,0.0,Transient-Party,112.67,0.0,1.0,Check-Out,2017-06-20,Jorge Wyatt,Wyatt.Jorge@gmail.com,332-763-3552,************3984,-1.1493938177666336
City Hotel,1.0,6.0,2015.0,September,39.0,20.0,2.0,0.0,2.0,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,1.0,0.0,A,A,0.0,Non Refund,78.0,,0.0,Transient,100.0,0.0,0.0,Canceled,2015-09-15,Cheryl Price,Cheryl_P@hotmail.com,406-544-1629,************5275,0.1357775866827983
City Hotel,0.0,161.0,2016.0,June,27.0,28.0,2.0,7.0,1.0,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,2.0,No Deposit,7.0,,0.0,Transient,63.42,0.0,1.0,Check-Out,2016-07-07,Jesse Daniels,Daniels.Jesse70@att.com,962-258-1096,************4244,-0.3234153257624597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3950059315256226
Resort Hotel,0.0,89.0,2016.0,October,45.0,30.0,2.0,3.0,2.0,2.0,0.0,HB,GBR,Direct,Direct,0.0,0.0,0.0,G,G,1.0,No Deposit,250.0,,0.0,Transient,128.7,0.0,0.0,Check-Out,2016-11-04,Adam Haynes,Adam.H33@verizon.com,784-904-1971,************1213,0.8101028797792127
Resort Hotel,0.0,143.0,2015.0,July,28.0,9.0,1.0,3.0,2.0,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,26.0,,0.0,Contract,58.23,0.0,1.0,Check-Out,2015-07-13,Andrew Evans,Andrew.E@protonmail.com,307-081-7047,************8012,1.2664881069104466
Resort Hotel,0.0,40.0,2017.0,January,3.0,16.0,1.0,2.0,1.0,0.0,0.0,Undefined,PRT,Groups,Direct,0.0,0.0,0.0,A,A,0.0,No Deposit,,,0.0,Transient-Party,55.0,0.0,0.0,Check-Out,2017-01-19,Stephanie Wilson,SWilson@comcast.net,185-769-9136,************4459,-0.6357775940569516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6178816927426771
City Hotel,0.0,0.0,2015.0,November,48.0,22.0,1.0,0.0,2.0,0.0,0.0,BB,PRT,Direct,Direct,0.0,0.0,0.0,A,D,0.0,No Deposit,,,0.0,Transient,89.0,0.0,0.0,Check-Out,2015-11-23,Stephen Myers,Myers_Stephen@mail.com,636-863-9045,************8813,1.715549284169003
Resort Hotel,0.0,41.0,2016.0,September,39.0,18.0,2.0,3.0,2.0,0.0,0.0,BB,PRT,Direct,Direct,0.0,0.0,0.0,A,A,0.0,No Deposit,,,0.0,Transient,86.0,1.0,1.0,Check-Out,2016-09-23,Stephen Anderson,StephenAnderson@zoho.com,100-439-7330,************6119,-0.4890339572440652
Resort Hotel,0.0,115.0,2016.0,October,44.0,23.0,2.0,4.0,1.0,0.0,0.0,BB,IRL,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient-Party,58.0,0.0,1.0,Check-Out,2016-10-29,Joshua Rosario,Joshua.Rosario@yahoo.com,860-385-2798,************2260,-0.7371414964915889
Resort Hotel,0.0,0.0,2015.0,July,30.0,19.0,1.0,0.0,3.0,0.0,0.0,BB,PRT,Direct,Direct,0.0,0.0,0.0,A,C,0.0,No Deposit,250.0,,0.0,Transient,128.0,1.0,0.0,Check-Out,2015-07-20,Charles Bailey,CharlesBailey@comcast.net,969-636-7934,************1479,-0.76990636570583
City Hotel,0.0,25.0,2015.0,December,49.0,4.0,1.0,2.0,2.0,0.0,0.0,BB,DEU,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,10.0,,0.0,Transient,69.0,0.0,0.0,Check-Out,2015-12-07,Jessica Allen,Allen.Jessica@yahoo.com,300-044-3614,************2297,-0.4201923392935542
Resort Hotel,0.0,3.0,2016.0,May,19.0,6.0,0.0,1.0,2.0,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,E,0.0,No Deposit,240.0,,0.0,Transient,79.0,1.0,1.0,Check-Out,2016-05-07,John Crawford,Crawford_John@aol.com,838-938-9852,************3304,1.2778041825719797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1581716346550525
City Hotel,1.0,121.0,2017.0,July,26.0,1.0,0.0,1.0,2.0,0.0,0.0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,135.0,0.0,0.0,Canceled,2017-04-19,Bryan Rogers,Bryan.R@gmail.com,555-998-7498,************4784,0.8127077204501878
City Hotel,0.0,2.0,2016.0,March,14.0,27.0,2.0,2.0,3.0,0.0,0.0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,D,E,0.0,No Deposit,9.0,,0.0,Transient,147.0,0.0,2.0,Check-Out,2016-03-31,Haley Paul,Haley.Paul46@comcast.net,837-129-2748,************9234,0.5688982127026284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2870012751957325
City Hotel,1.0,20.0,2016.0,November,48.0,24.0,0.0,3.0,2.0,0.0,0.0,BB,FRA,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,104.0,0.0,2.0,Canceled,2016-11-14,Thomas Petersen,Thomas.Petersen85@outlook.com,996-200-7454,************8171,1.6561361632994875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4036504135078747
City Hotel,1.0,342.0,2015.0,September,39.0,24.0,2.0,4.0,2.0,0.0,0.0,BB,PRT,Groups,TA/TO,0.0,1.0,0.0,A,A,0.0,Non Refund,1.0,,0.0,Transient,170.0,0.0,0.0,Canceled,2015-08-21,Joshua Hinton,Hinton_Joshua32@verizon.com,729-080-7195,************5118,-0.690788907983639
City Hotel,0.0,10.0,2016.0,February,6.0,4.0,0.0,1.0,1.0,0.0,0.0,BB,PRT,Corporate,Corporate,1.0,0.0,2.0,A,A,1.0,No Deposit,,40.0,0.0,Transient-Party,66.0,0.0,0.0,Check-Out,2016-02-05,Tina Blackwell,Tina_B79@xfinity.com,508-742-3791,************2198,-1.4495086922545992
City Hotel,1.0,50.0,2016.0,November,47.0,18.0,1.0,2.0,2.0,0.0,0.0,BB,BEL,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,93.6,0.0,2.0,Canceled,2016-10-09,David Rivers,DavidRivers@outlook.com,519-831-8678,************5760,-0.2053640057355201
City Hotel,0.0,99.0,2016.0,October,43.0,19.0,0.0,4.0,2.0,0.0,0.0,BB,BEL,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,118.8,0.0,2.0,Check-Out,2016-10-23,Morgan Allen MD,MorganMD91@yandex.com,985-909-9058,************9555,1.382284547912217
Resort Hotel,1.0,34.0,2017.0,August,32.0,8.0,1.0,5.0,2.0,0.0,0.0,HB,PRT,Online TA,TA/TO,0.0,0.0,0.0,F,F,0.0,No Deposit,241.0,,0.0,Transient,231.84,0.0,2.0,Canceled,2017-07-06,Christopher Rivera,ChristopherRivera76@outlook.com,555-508-5005,************5023,0.2903752414501135
Resort Hotel,0.0,33.0,2016.0,May,21.0,15.0,2.0,4.0,2.0,0.0,0.0,BB,IRL,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,240.0,,0.0,Transient-Party,91.67,0.0,1.0,Check-Out,2016-05-21,Melinda Bryant,Melinda_Bryant@zoho.com,687-764-1470,************1424,1.2816473230682983
City Hotel,1.0,197.0,2016.0,October,44.0,29.0,2.0,1.0,3.0,0.0,0.0,BB,ITA,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,128.7,0.0,0.0,Canceled,2016-04-18,Michael Jones,Michael.Jones67@xfinity.com,692-488-3161,************7299,1.9972956517708185
City Hotel,1.0,122.0,2017.0,July,28.0,12.0,0.0,2.0,3.0,0.0,0.0,HB,ESP,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,222.3,0.0,0.0,Canceled,2017-03-14,Kenneth Espinoza,Espinoza_Kenneth@yahoo.com,112-412-6797,************5696,-1.3810790741006462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0539046032935814
City Hotel,1.0,91.0,2016.0,October,43.0,20.0,0.0,3.0,2.0,0.0,0.0,BB,IRL,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,132.3,0.0,2.0,Canceled,2016-07-25,Melissa Rosales,MelissaRosales@mail.com,351-759-9093,************5839,-0.6782279269523935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0321187651730369
Resort Hotel,0.0,257.0,2017.0,May,19.0,9.0,0.0,4.0,2.0,0.0,0.0,HB,GBR,Groups,Direct,0.0,0.0,0.0,E,F,1.0,No Deposit,,,0.0,Transient-Party,101.0,0.0,0.0,Check-Out,2017-05-13,Wendy Hart,Wendy_H@yandex.com,415-366-0020,************8911,0.2267500145043939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6437110205391892
City Hotel,1.0,396.0,2017.0,June,26.0,25.0,2.0,0.0,2.0,0.0,0.0,HB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,6.0,,0.0,Transient-Party,122.4,0.0,1.0,Canceled,2017-06-22,Wesley Roberts,Wesley.R@verizon.com,391-749-5238,************5707,1.1603068268376893
City Hotel,0.0,236.0,2017.0,April,15.0,14.0,1.0,2.0,2.0,0.0,0.0,BB,CHE,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,113.4,0.0,1.0,Check-Out,2017-04-17,Alexander Scott,Alexander_Scott@verizon.com,702-622-7306,************5202,-0.9455441253940238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3566494614927405
Resort Hotel,0.0,49.0,2015.0,July,31.0,27.0,3.0,5.0,2.0,0.0,0.0,HB,CN,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,242.0,,0.0,Transient,179.88,0.0,1.0,Check-Out,2015-08-04,Brittany Sanders,BrittanySanders@outlook.com,216-796-5353,************3193,-0.4144322695089851
City Hotel,0.0,206.0,2017.0,March,13.0,26.0,2.0,1.0,2.0,0.0,0.0,BB,CN,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,296.0,,0.0,Transient-Party,72.0,0.0,0.0,Check-Out,2017-03-29,Steven Johnson,SJohnson@outlook.com,650-570-6618,************4653,0.6980779465690401
City Hotel,1.0,28.0,2017.0,January,1.0,7.0,6.0,16.0,2.0,0.0,0.0,BB,BRA,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,98.6,0.0,0.0,Canceled,2016-12-10,Edward Gonzalez,Gonzalez_Edward@hotmail.com,466-751-8478,************9819,0.2803946014436099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9641586057503282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.644613495759483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086234732423744
City Hotel,0.0,1.0,2016.0,March,12.0,17.0,0.0,3.0,2.0,0.0,1.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,1.0,No Deposit,9.0,,0.0,Transient,119.67,0.0,2.0,Check-Out,2016-03-20,Rachel Duke,RachelDuke@comcast.net,646-157-5871,************5992,-0.3347425152559094
Resort Hotel,0.0,4.0,2017.0,May,22.0,29.0,1.0,2.0,3.0,1.0,0.0,BB,ITA,Online TA,TA/TO,0.0,0.0,0.0,H,H,0.0,No Deposit,240.0,,0.0,Transient,144.0,0.0,0.0,Check-Out,2017-06-01,Theresa Delacruz,Delacruz_Theresa@mail.com,910-136-4077,************3698,0.5224944027344343
Resort Hotel,0.0,13.0,2016.0,June,26.0,20.0,1.0,0.0,2.0,0.0,0.0,BB,ITA,Online TA,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,240.0,,0.0,Transient-Party,99.0,0.0,1.0,Check-Out,2016-06-21,David Gutierrez,Gutierrez_David26@yandex.com,572-838-7338,************8942,1.1434828850911218
Resort Hotel,0.0,155.0,2017.0,July,31.0,31.0,2.0,5.0,2.0,2.0,0.0,HB,PRT,Online TA,TA/TO,0.0,0.0,0.0,C,C,0.0,No Deposit,240.0,,0.0,Transient,268.0,0.0,3.0,Check-Out,2017-08-07,Kelsey Hernandez,Kelsey_H@yahoo.com,296-970-8898,************9035,1.3939780797021908
City Hotel,0.0,86.0,2015.0,December,53.0,30.0,0.0,3.0,2.0,0.0,0.0,BB,CRI,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,7.0,,0.0,Transient,81.86,0.0,1.0,Check-Out,2016-01-02,Jacqueline Anderson,Jacqueline.A@yandex.com,774-526-0798,************9956,1.2598437811722418
Resort Hotel,0.0,354.0,2016.0,September,37.0,6.0,2.0,6.0,2.0,0.0,0.0,HB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,,,0.0,Transient,142.55,1.0,1.0,Check-Out,2016-09-14,Joseph Hurst,Hurst.Joseph@mail.com,187-952-2738,************5125,-0.6747986668937805
City Hotel,1.0,9.0,2016.0,February,9.0,21.0,2.0,1.0,1.0,0.0,0.0,BB,FRA,Online TA,TA/TO,0.0,0.0,0.0,A,A,3.0,No Deposit,9.0,,0.0,Transient-Party,85.0,0.0,0.0,Canceled,2016-02-12,Beth Rodriguez,Beth.R33@hotmail.com,775-833-5828,************3263,-0.6299574029165403
Resort Hotel,0.0,0.0,2017.0,February,8.0,21.0,0.0,3.0,1.0,0.0,0.0,BB,PRT,Corporate,TA/TO,1.0,0.0,1.0,A,I,0.0,No Deposit,,516.0,0.0,Transient,42.0,1.0,2.0,Check-Out,2017-02-24,Stephanie Nichols MD,MD.Stephanie@xfinity.com,253-695-4177,************9818,2.2647763385345177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5896437756406291
City Hotel,1.0,227.0,2017.0,April,17.0,23.0,2.0,5.0,2.0,0.0,0.0,BB,ISR,Online TA,TA/TO,0.0,0.0,0.0,D,D,2.0,No Deposit,9.0,,0.0,Transient,130.5,0.0,2.0,Canceled,2016-10-06,Tiffany Carter,Tiffany_C@xfinity.com,588-045-8118,************5105,0.2081949910126362
Resort Hotel,0.0,96.0,2016.0,December,52.0,24.0,2.0,5.0,2.0,0.0,0.0,HB,FRA,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,D,0.0,No Deposit,6.0,,0.0,Transient,56.63,0.0,0.0,Check-Out,2016-12-31,Angela Smith,Angela.S86@mail.com,912-894-8244,************1867,-0.2333074967161487
City Hotel,1.0,261.0,2015.0,October,42.0,16.0,0.0,1.0,2.0,0.0,0.0,HB,PRT,Offline TA/TO,TA/TO,0.0,1.0,0.0,A,A,0.0,Non Refund,6.0,,0.0,Transient-Party,120.0,0.0,0.0,Canceled,2015-07-08,Sheila Lee,Sheila.L@xfinity.com,528-704-5604,************5707,-1.5038779002370282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7815068128646637
City Hotel,1.0,524.0,2016.0,December,51.0,15.0,0.0,2.0,2.0,0.0,0.0,BB,PRT,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,Non Refund,1.0,,0.0,Transient,62.8,0.0,0.0,Canceled,2015-10-21,Jonathan Weiss,Jonathan.Weiss@outlook.com,415-544-1118,************4565,1.0467583750740663
Resort Hotel,0.0,24.0,2016.0,May,19.0,7.0,2.0,5.0,2.0,0.0,0.0,HB,PRT,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,15.0,,0.0,Transient-Party,85.0,0.0,0.0,Check-Out,2016-05-14,Brandon Yu,Brandon.Y@hotmail.com,579-250-3907,************2482,0.3557001170721251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.623007621005224
City Hotel,0.0,122.0,2017.0,August,34.0,21.0,1.0,2.0,1.0,0.0,0.0,BB,CZE,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,7.0,,0.0,Transient,120.0,0.0,1.0,Check-Out,2017-08-24,Jaime Carlson,Carlson_Jaime72@comcast.net,571-373-7130,************7587,0.270118286605638
City Hotel,1.0,32.0,2017.0,March,11.0,18.0,2.0,5.0,2.0,2.0,0.0,BB,EST,Online TA,TA/TO,0.0,0.0,0.0,F,F,0.0,No Deposit,9.0,,0.0,Transient,200.86,0.0,0.0,Canceled,2017-02-17,Mr. Michael Murphy,Mr..Murphy@outlook.com,905-826-6907,************9697,-0.1940629265647909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4737224893518382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034260521731534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2523676816573453
Resort Hotel,0.0,87.0,2017.0,August,31.0,3.0,1.0,3.0,2.0,0.0,0.0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,244.0,0.0,2.0,Check-Out,2017-08-07,William Bentley,WilliamBentley35@comcast.net,338-971-7436,************1834,-0.9076531437178474
City Hotel,0.0,46.0,2017.0,August,31.0,4.0,1.0,2.0,2.0,0.0,0.0,BB,BEL,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,160.0,0.0,1.0,Check-Out,2017-08-07,Jordan Mitchell,Jordan.Mitchell@hotmail.com,519-213-5150,************4802,-1.066967234829197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19347256073316
City Hotel,0.0,117.0,2017.0,July,29.0,21.0,0.0,1.0,2.0,0.0,0.0,SC,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,83.0,,0.0,Transient,86.4,0.0,0.0,Check-Out,2017-07-22,Christopher Nash,Christopher.Nash93@yahoo.com,560-814-8805,************3898,-0.2827660823496108
City Hotel,1.0,15.0,2017.0,July,30.0,24.0,1.0,1.0,2.0,0.0,0.0,SC,NOR,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,119.0,0.0,1.0,Canceled,2017-07-18,David Douglas,David_D@yahoo.com,906-637-6782,************9266,-0.1709468057657539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5127706617395138
Resort Hotel,1.0,200.0,2016.0,July,30.0,18.0,1.0,3.0,2.0,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,108.0,0.0,0.0,Canceled,2016-06-27,Robert Thomas,Robert.Thomas99@protonmail.com,664-871-2258,************4057,1.2511087389220332
Resort Hotel,0.0,1.0,2016.0,May,23.0,30.0,1.0,2.0,1.0,0.0,0.0,BB,FRA,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,76.0,1.0,1.0,Check-Out,2016-06-02,Jacob Boyd,Jacob.B51@mail.com,899-190-3396,************1417,-0.8859899762808847
City Hotel,0.0,103.0,2015.0,July,29.0,18.0,2.0,1.0,2.0,0.0,0.0,HB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,17.0,,0.0,Transient-Party,94.5,0.0,0.0,Check-Out,2015-07-21,Nicole Mcpherson,Nicole.Mcpherson@gmail.com,331-350-6167,************4718,-1.1189681366967763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523383071008052
Resort Hotel,1.0,222.0,2015.0,September,38.0,15.0,1.0,5.0,2.0,0.0,0.0,FB,PRT,Groups,Corporate,0.0,25.0,0.0,A,A,0.0,Non Refund,252.0,,0.0,Transient,49.95,0.0,0.0,Canceled,2015-03-03,Tiffany Herrera,Herrera.Tiffany@yandex.com,173-670-3386,************2954,0.2849590220887884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1500022929443039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4144565228850229
